iter	Passed	Remaining
0	137	137558
1	139	69722
2	141	46985
3	143	35612
4	144	28786
5	146	24256
6	148	21018
7	149	18592
8	151	16705
9	153	15198
10	155	13948
11	157	12945
12	158	12059
13	160	11300
14	162	10646
15	163	10062
16	164	9538
17	166	9068
18	167	8646
19	168	8262
20	169	7920
21	170	7600
22	172	7306
23	172	7033
24	173	6781
25	174	6547
26	175	6328
27	176	6126
28	177	5935
29	178	5763
30	179	5604
31	180	5454
32	181	5312
33	182	5171
34	182	5041
35	183	4918
36	184	4804
37	185	4692
38	186	4590
39	187	4491
40	188	4397
41	188	4309
42	189	4222
43	190	4140
44	191	4059
45	192	3983
46	192	3912
47	193	3844
48	194	3778
49	195	3715
50	196	3655
51	197	3594
52	197	3537
53	198	3482
54	199	3429
55	200	3381
56	201	3334
57	202	3286
58	203	3240
59	204	3196
60	204	3154
61	205	3111
62	206	3072
63	207	3033
64	208	2998
65	209	2963
66	210	2926
67	210	2885
68	211	2852
69	212	2819
70	213	2787
71	213	2755
72	214	2726
73	215	2698
74	216	2670
75	217	2642
76	218	2615
77	218	2587
78	219	2562
79	220	2537
80	221	2511
81	222	2495
82	223	2472
83	224	2448
84	225	2422
85	225	2400
86	226	2376
87	227	2355
88	228	2335
89	228	2315
90	229	2296
91	230	2277
92	231	2258
93	232	2239
94	233	2220
95	233	2202
96	234	2185
97	235	2167
98	236	2150
99	237	2134
100	238	2118
101	238	2098
102	239	2083
103	240	2067
104	240	2052
105	241	2037
106	242	2022
107	243	2008
108	243	1994
109	244	1980
110	245	1966
111	246	1953
112	247	1940
113	248	1927
114	248	1914
115	249	1901
116	250	1888
117	251	1877
118	251	1863
119	252	1852
120	253	1841
121	254	1830
122	254	1817
123	255	1806
124	256	1795
125	257	1784
126	258	1774
127	258	1761
128	259	1752
129	260	1741
130	261	1731
131	261	1721
132	262	1712
133	263	1702
134	264	1693
135	264	1683
136	265	1674
137	266	1664
138	267	1656
139	268	1647
140	269	1639
141	269	1630
142	270	1621
143	271	1613
144	272	1605
145	273	1597
146	273	1589
147	274	1581
148	275	1573
149	276	1565
150	277	1557
151	277	1550
152	278	1543
153	279	1536
154	280	1528
155	281	1521
156	281	1513
157	282	1506
158	283	1499
159	284	1493
160	285	1486
161	285	1479
162	286	1472
163	287	1465
164	288	1458
165	289	1453
166	290	1446
167	290	1440
168	291	1434
169	292	1428
170	293	1421
171	294	1415
172	294	1409
173	295	1403
174	296	1397
175	297	1392
176	298	1386
177	298	1380
178	299	1374
179	300	1368
180	300	1361
181	301	1355
182	302	1350
183	303	1344
184	304	1339
185	304	1334
186	305	1329
187	306	1323
188	307	1319
189	308	1314
190	309	1309
191	309	1303
192	310	1298
193	311	1294
194	312	1289
195	313	1285
196	314	1280
197	314	1275
198	315	1270
199	316	1266
200	317	1261
201	318	1256
202	319	1252
203	319	1248
204	320	1243
205	321	1239
206	322	1234
207	323	1230
208	323	1225
209	324	1221
210	325	1217
211	326	1213
212	327	1208
213	328	1204
214	328	1200
215	329	1196
216	330	1192
217	331	1188
218	332	1185
219	333	1181
220	333	1176
221	334	1172
222	335	1168
223	336	1164
224	337	1160
225	337	1157
226	338	1153
227	339	1149
228	340	1145
229	341	1141
230	341	1137
231	342	1134
232	343	1130
233	344	1126
234	345	1123
235	345	1119
236	346	1116
237	347	1113
238	348	1109
239	349	1106
240	349	1102
241	350	1098
242	351	1094
243	352	1090
244	352	1087
245	353	1083
246	354	1080
247	355	1077
248	356	1073
249	357	1071
250	357	1067
251	358	1064
252	359	1061
253	360	1058
254	361	1054
255	361	1051
256	362	1048
257	363	1045
258	364	1042
259	365	1038
260	365	1036
261	366	1033
262	367	1029
263	368	1026
264	369	1023
265	369	1020
266	370	1017
267	371	1014
268	372	1011
269	373	1008
270	373	1005
271	374	1003
272	375	1000
273	376	997
274	377	994
275	378	991
276	378	988
277	379	986
278	380	983
279	381	980
280	382	977
281	382	974
282	383	971
283	384	969
284	385	966
285	386	963
286	386	960
287	387	958
288	388	955
289	389	953
290	390	950
291	390	947
292	391	945
293	392	942
294	393	940
295	394	937
296	394	934
297	395	932
298	396	929
299	397	927
300	398	924
301	398	922
302	399	919
303	400	917
304	401	914
305	402	912
306	403	910
307	404	907
308	404	905
309	405	903
310	406	900
311	407	898
312	408	896
313	409	893
314	409	891
315	410	889
316	411	887
317	412	884
318	413	882
319	414	879
320	414	877
321	415	875
322	416	873
323	417	870
324	418	868
325	418	866
326	419	863
327	420	861
328	421	859
329	422	857
330	423	855
331	424	853
332	424	850
333	425	848
334	426	846
335	427	844
336	427	842
337	428	839
338	429	837
339	430	835
340	431	833
341	432	831
342	432	829
343	433	826
344	434	824
345	435	822
346	435	820
347	436	818
348	437	816
349	438	814
350	439	812
351	440	810
352	440	808
